domain,instance,planner,status,time
domain_1,p36,PLN_2,0,-1
domain_1,p37,PLN_2,0,-1
domain_1,p1,PLN_3,1,156.003832251291
domain_1,p2,PLN_3,1,139.222566049559
domain_1,p3,PLN_3,1,124.596076735991
domain_1,p4,PLN_3,1,160.7567319603
domain_1,p5,PLN_3,1,163.505543354388
domain_1,p6,PLN_3,1,155.43664628891
domain_1,p7,PLN_3,1,111.886051800499
domain_1,p8,PLN_3,1,150.68926395789
domain_1,p9,PLN_3,1,116.602100600012
domain_1,p10,PLN_3,0,-1
domain_1,p11,PLN_3,0,-1
domain_1,p12,PLN_3,0,-1
domain_1,p13,PLN_3,0,-1
domain_1,p14,PLN_3,0,-1
domain_1,p15,PLN_3,0,-1
domain_1,p16,PLN_3,0,-1
domain_1,p17,PLN_3,0,-1
domain_1,p18,PLN_3,0,-1
domain_1,p19,PLN_3,0,-1
domain_1,p20,PLN_3,0,-1
domain_1,p21,PLN_3,0,-1
domain_1,p22,PLN_3,0,-1
domain_1,p23,PLN_3,0,-1
domain_1,p24,PLN_3,0,-1
domain_1,p25,PLN_3,0,-1
domain_1,p26,PLN_3,0,-1
domain_1,p27,PLN_3,0,-1
domain_1,p28,PLN_3,0,-1
domain_1,p29,PLN_3,0,-1
domain_1,p30,PLN_3,0,-1
domain_1,p31,PLN_3,0,-1
domain_1,p32,PLN_3,0,-1
domain_1,p33,PLN_3,0,-1
domain_1,p34,PLN_3,0,-1
domain_1,p35,PLN_3,0,-1
domain_1,p36,PLN_3,0,-1
domain_1,p37,PLN_3,0,-1
domain_1,p1,PLN_4,1,604.324261697244
domain_1,p2,PLN_4,1,806.39124292607
domain_1,p3,PLN_4,1,591.7265137889
domain_1,p4,PLN_4,1,489.865903773681
domain_1,p5,PLN_4,1,446.773181811809
domain_1,p6,PLN_4,1,802.788208052728
domain_1,p7,PLN_4,1,628.819276086813
domain_1,p8,PLN_4,1,678.908657997272
domain_1,p9,PLN_4,1,541.322460697648
domain_1,p10,PLN_4,1,504.441663355937
domain_1,p11,PLN_4,1,701.114940141176
domain_1,p12,PLN_4,1,546.468241906179
domain_1,p13,PLN_4,1,633.085107234744
domain_1,p14,PLN_4,1,471.861414124861
domain_1,p15,PLN_4,1,571.723086892762
domain_1,p16,PLN_4,1,528.146018388714
domain_1,p17,PLN_4,1,523.662611477502
domain_1,p18,PLN_4,0,-1
domain_1,p19,PLN_4,0,-1
domain_1,p20,PLN_4,0,-1
domain_1,p21,PLN_4,0,-1
domain_1,p22,PLN_4,0,-1
domain_1,p23,PLN_4,0,-1
domain_1,p24,PLN_4,0,-1
domain_1,p25,PLN_4,0,-1
domain_1,p26,PLN_4,0,-1
domain_1,p27,PLN_4,0,-1
domain_1,p28,PLN_4,0,-1
domain_1,p29,PLN_4,0,-1
domain_1,p30,PLN_4,0,-1
domain_1,p31,PLN_4,0,-1
domain_1,p32,PLN_4,0,-1
domain_1,p33,PLN_4,0,-1
domain_1,p34,PLN_4,0,-1
domain_1,p35,PLN_4,0,-1
domain_1,p36,PLN_4,0,-1
domain_1,p37,PLN_4,0,-1
domain_1,p1,PLN_5,1,342.365072791567
domain_1,p2,PLN_5,1,328.767031160313
domain_1,p3,PLN_5,1,295.775886723039
domain_1,p4,PLN_5,1,351.358209653576
domain_1,p5,PLN_5,1,313.599115069329
domain_1,p6,PLN_5,1,334.526814376497
domain_1,p7,PLN_5,1,267.941756867959
domain_1,p8,PLN_5,1,451.492945561762
domain_1,p9,PLN_5,1,229.729718864008
domain_1,p10,PLN_5,1,399.669674486488
domain_1,p11,PLN_5,1,290.793594890056
domain_1,p12,PLN_5,1,324.598797348207
domain_1,p13,PLN_5,1,348.903879505212
domain_1,p14,PLN_5,1,391.991203482201
domain_1,p15,PLN_5,1,266.495025661923
domain_1,p16,PLN_5,1,279.56181265749
domain_1,p17,PLN_5,1,381.193268620837
domain_1,p18,PLN_5,1,225.684746874023
domain_1,p19,PLN_5,1,326.353923030249
domain_1,p20,PLN_5,1,373.191955151809
domain_1,p21,PLN_5,1,424.903738488818
domain_1,p22,PLN_5,1,347.358873915716
domain_1,p23,PLN_5,1,239.596963712858
domain_1,p24,PLN_5,1,268.829875139774
domain_1,p25,PLN_5,1,231.218514598752
domain_1,p26,PLN_5,1,330.420549195849
domain_1,p27,PLN_5,1,342.520894343549
domain_1,p28,PLN_5,0,-1
domain_1,p29,PLN_5,0,-1
domain_1,p30,PLN_5,0,-1
domain_1,p31,PLN_5,0,-1
domain_1,p32,PLN_5,0,-1
domain_1,p33,PLN_5,0,-1
domain_1,p34,PLN_5,0,-1
domain_1,p35,PLN_5,0,-1
domain_1,p36,PLN_5,0,-1
domain_1,p37,PLN_5,0,-1
domain_2,p1,PLN_1,1,200.711778620849
domain_2,p2,PLN_1,1,261.251132192755
domain_2,p3,PLN_1,1,281.541736315337
domain_2,p4,PLN_1,1,341.724063445151
domain_2,p5,PLN_1,1,286.685257035882
domain_2,p6,PLN_1,1,383.225373378465
domain_2,p7,PLN_1,1,349.161819504069
domain_2,p8,PLN_1,1,256.694790278132
domain_2,p9,PLN_1,1,199.919093283094
domain_2,p10,PLN_1,1,363.528720696164
domain_2,p11,PLN_1,1,244.426233587632
domain_2,p12,PLN_1,1,255.034653084791
domain_2,p13,PLN_1,1,336.221445924528
domain_2,p14,PLN_1,1,528.670153751103
domain_2,p15,PLN_1,1,368.86475222806
domain_2,p16,PLN_1,1,361.561887174496
domain_2,p17,PLN_1,1,486.374826322821
domain_2,p18,PLN_1,1,287.642598837004
domain_2,p19,PLN_1,1,301.741415221556
domain_2,p20,PLN_1,1,282.74176949355
domain_2,p21,PLN_1,0,-1
domain_2,p22,PLN_1,0,-1
domain_2,p23,PLN_1,0,-1
domain_2,p24,PLN_1,0,-1
domain_2,p25,PLN_1,0,-1
domain_2,p26,PLN_1,0,-1
domain_2,p27,PLN_1,0,-1
domain_2,p28,PLN_1,0,-1
domain_2,p29,PLN_1,0,-1
domain_2,p30,PLN_1,0,-1
domain_2,p31,PLN_1,0,-1
domain_2,p32,PLN_1,0,-1
domain_2,p33,PLN_1,0,-1
domain_2,p34,PLN_1,0,-1
domain_2,p35,PLN_1,0,-1
domain_2,p36,PLN_1,0,-1
domain_2,p37,PLN_1,0,-1
domain_2,p38,PLN_1,0,-1
domain_2,p1,PLN_2,1,521.53417620673
domain_2,p2,PLN_2,1,476.537280193459
domain_2,p3,PLN_2,1,445.000719101447
domain_2,p4,PLN_2,1,523.348955197052
domain_2,p5,PLN_2,1,569.052342446301
domain_2,p6,PLN_2,1,440.172549543734
domain_2,p7,PLN_2,1,334.791836395661
domain_2,p8,PLN_2,1,590.781529687423
domain_2,p9,PLN_2,1,524.804683722117
domain_2,p10,PLN_2,1,547.99685051552
domain_2,p11,PLN_2,1,400.319305683932
domain_2,p12,PLN_2,1,673.106963121934
domain_2,p13,PLN_2,1,538.982099454948
domain_2,p14,PLN_2,1,502.5178446726
domain_2,p15,PLN_2,1,534.092917136693
domain_2,p16,PLN_2,1,476.275657285658
domain_2,p17,PLN_2,1,354.46884466239
domain_2,p18,PLN_2,1,629.755811651347
domain_2,p19,PLN_2,1,502.918608550501
domain_2,p20,PLN_2,1,444.055645725006
domain_2,p21,PLN_2,1,555.004254752258
domain_2,p22,PLN_2,1,491.827916122773
domain_2,p23,PLN_2,1,445.041394077015
domain_2,p24,PLN_2,1,568.500366402226
domain_2,p25,PLN_2,1,445.941905884027
domain_2,p26,PLN_2,1,539.809751907172
domain_2,p27,PLN_2,1,556.38070355681
domain_2,p28,PLN_2,1,479.244269524995
domain_2,p29,PLN_2,1,629.965931646896
domain_2,p30,PLN_2,1,597.681373719211
domain_2,p31,PLN_2,1,480.755558827987
domain_2,p32,PLN_2,1,557.090758380293
domain_2,p33,PLN_2,1,494.18327630095
domain_2,p34,PLN_2,1,399.280729089833
domain_2,p35,PLN_2,1,574.299391920522
domain_2,p36,PLN_2,1,303.498051940186
domain_2,p37,PLN_2,1,550.392362663264
domain_2,p38,PLN_2,0,-1
domain_2,p1,PLN_3,1,571.352999456593
domain_2,p2,PLN_3,1,812.008421793056
domain_2,p3,PLN_3,1,1085.91455206909
domain_2,p4,PLN_3,1,444.464109599347
domain_2,p5,PLN_3,1,570.049383171542
domain_2,p6,PLN_3,1,1137.98415037553
domain_2,p7,PLN_3,1,828.360375688555
domain_2,p8,PLN_3,1,1358.58527276826
domain_2,p9,PLN_3,0,-1
domain_2,p10,PLN_3,0,-1
domain_2,p11,PLN_3,0,-1
domain_2,p12,PLN_3,0,-1
domain_2,p13,PLN_3,0,-1
domain_2,p14,PLN_3,0,-1
domain_2,p15,PLN_3,0,-1
domain_2,p16,PLN_3,0,-1
domain_2,p17,PLN_3,0,-1
domain_2,p18,PLN_3,0,-1
domain_2,p19,PLN_3,0,-1
domain_2,p20,PLN_3,0,-1
domain_2,p21,PLN_3,0,-1
domain_2,p22,PLN_3,0,-1
domain_2,p23,PLN_3,0,-1
domain_2,p24,PLN_3,0,-1
domain_2,p25,PLN_3,0,-1
domain_2,p26,PLN_3,0,-1
domain_2,p27,PLN_3,0,-1
domain_2,p28,PLN_3,0,-1
domain_2,p29,PLN_3,0,-1
domain_2,p30,PLN_3,0,-1
domain_2,p31,PLN_3,0,-1
domain_2,p32,PLN_3,0,-1
domain_2,p33,PLN_3,0,-1
domain_2,p34,PLN_3,0,-1
domain_2,p35,PLN_3,0,-1
domain_2,p36,PLN_3,0,-1
domain_2,p37,PLN_3,0,-1
domain_2,p38,PLN_3,0,-1
domain_2,p1,PLN_4,1,58.2864532088839
domain_2,p2,PLN_4,1,58.9696984630637
domain_2,p3,PLN_4,1,92.9257770845255
domain_2,p4,PLN_4,1,87.0509161748307
domain_2,p5,PLN_4,1,88.5745404509616
domain_2,p6,PLN_4,1,87.6595787330371
domain_2,p7,PLN_4,1,50.7404228158884
domain_2,p8,PLN_4,1,63.4297170154339
domain_2,p9,PLN_4,1,79.2811999307357
domain_2,p10,PLN_4,1,89.8268338668294
domain_2,p11,PLN_4,1,58.598732544061
domain_2,p12,PLN_4,1,61.1564036903011
domain_2,p13,PLN_4,1,83.6981292310178
domain_2,p14,PLN_4,0,-1
domain_2,p15,PLN_4,0,-1
domain_2,p16,PLN_4,0,-1
domain_2,p17,PLN_4,0,-1
domain_2,p18,PLN_4,0,-1
domain_2,p19,PLN_4,0,-1
domain_2,p20,PLN_4,0,-1
domain_2,p21,PLN_4,0,-1
domain_2,p22,PLN_4,0,-1
domain_2,p23,PLN_4,0,-1
domain_2,p24,PLN_4,0,-1
domain_2,p25,PLN_4,0,-1
domain_2,p26,PLN_4,0,-1
domain_2,p27,PLN_4,0,-1
domain_2,p28,PLN_4,0,-1
domain_2,p29,PLN_4,0,-1
domain_2,p30,PLN_4,0,-1
domain_2,p31,PLN_4,0,-1
domain_2,p32,PLN_4,0,-1
domain_2,p33,PLN_4,0,-1
domain_2,p34,PLN_4,0,-1
domain_2,p35,PLN_4,0,-1
domain_2,p36,PLN_4,0,-1
domain_2,p37,PLN_4,0,-1
domain_2,p38,PLN_4,0,-1
domain_2,p1,PLN_5,1,451.736367148468
domain_2,p2,PLN_5,1,420.166966797175
domain_2,p3,PLN_5,1,392.618783091456
domain_2,p4,PLN_5,1,489.796620096757
domain_2,p5,PLN_5,1,409.248554569441
domain_2,p6,PLN_5,1,311.027051180003
domain_2,p7,PLN_5,1,378.301081548342
domain_2,p8,PLN_5,1,342.493448084258
domain_2,p9,PLN_5,1,392.522700648324
domain_2,p10,PLN_5,1,316.728848197377
domain_2,p11,PLN_5,1,416.992993115845
domain_2,p12,PLN_5,1,379.526036066173
domain_2,p13,PLN_5,1,315.48669248
domain_2,p14,PLN_5,1,390.195210524321
domain_2,p15,PLN_5,1,253.471938636
domain_2,p16,PLN_5,1,376.753573076118
domain_2,p17,PLN_5,1,229.766288892027
domain_2,p18,PLN_5,1,417.84341631131
domain_2,p19,PLN_5,1,335.787144091262
domain_2,p20,PLN_5,1,278.171812822102
domain_2,p21,PLN_5,1,259.508159168031
domain_2,p22,PLN_5,1,179.834961377788
domain_2,p23,PLN_5,1,421.915166446912
domain_2,p24,PLN_5,0,-1
domain_2,p25,PLN_5,0,-1
domain_2,p26,PLN_5,0,-1
domain_2,p27,PLN_5,0,-1
domain_2,p28,PLN_5,0,-1
domain_2,p29,PLN_5,0,-1
domain_2,p30,PLN_5,0,-1
domain_2,p31,PLN_5,0,-1
domain_2,p32,PLN_5,0,-1
domain_2,p33,PLN_5,0,-1
domain_2,p34,PLN_5,0,-1
domain_2,p35,PLN_5,0,-1
domain_2,p36,PLN_5,0,-1
domain_2,p37,PLN_5,0,-1
domain_2,p38,PLN_5,0,-1
domain_3,p1,PLN_1,1,100.615211565871
domain_3,p2,PLN_1,1,115.843033586933
domain_3,p3,PLN_1,1,95.7440211527952
domain_3,p4,PLN_1,1,131.901967269224
domain_3,p5,PLN_1,1,106.529645882322
domain_3,p6,PLN_1,1,123.190106077491
domain_3,p7,PLN_1,1,108.900628351274
domain_3,p8,PLN_1,1,144.040921847501
domain_3,p9,PLN_1,1,89.6454112204209
domain_3,p10,PLN_1,1,124.786385239514
domain_3,p11,PLN_1,1,161.834656133596
domain_3,p12,PLN_1,1,112.948495894706
domain_3,p13,PLN_1,1,153.793340908327
domain_3,p14,PLN_1,1,133.582210963679
domain_3,p15,PLN_1,1,117.875716331519
domain_3,p16,PLN_1,1,161.70751631378
domain_3,p17,PLN_1,1,147.920647680376
domain_3,p18,PLN_1,0,-1
domain_3,p19,PLN_1,0,-1
domain_3,p20,PLN_1,0,-1
domain_3,p21,PLN_1,0,-1
domain_3,p22,PLN_1,0,-1
domain_3,p23,PLN_1,0,-1
domain_3,p24,PLN_1,0,-1
domain_3,p1,PLN_2,1,721.706306754291
domain_3,p2,PLN_2,1,634.964217486936
domain_3,p3,PLN_2,1,571.435401646433
domain_3,p4,PLN_2,1,622.22832845187
domain_3,p5,PLN_2,1,561.854373616074
domain_3,p6,PLN_2,1,798.274458825092
domain_3,p7,PLN_2,1,790.868497188683
domain_3,p8,PLN_2,1,392.124841543003
domain_3,p9,PLN_2,1,714.721491418828
domain_3,p10,PLN_2,1,656.950290516579
domain_3,p11,PLN_2,1,773.552183670921
domain_3,p12,PLN_2,1,737.888720590041
domain_3,p13,PLN_2,1,635.517809440613
domain_3,p14,PLN_2,1,535.523003525474
domain_3,p15,PLN_2,1,653.776100474061
domain_3,p16,PLN_2,1,636.084830166626
domain_3,p17,PLN_2,1,588.009938951222
domain_3,p18,PLN_2,1,638.183320469886
domain_3,p19,PLN_2,1,900.780306238842
domain_3,p20,PLN_2,1,609.984587811964
domain_3,p21,PLN_2,1,676.446708027393
domain_3,p22,PLN_2,1,699.669029338124
domain_3,p23,PLN_2,0,-1
domain_3,p24,PLN_2,0,-1
domain_3,p1,PLN_3,1,784.051943960219
domain_3,p2,PLN_3,1,706.536033795047
domain_3,p3,PLN_3,1,815.249865228326
domain_3,p4,PLN_3,1,666.64478271945
domain_3,p5,PLN_3,1,930.198142636445
domain_3,p6,PLN_3,1,597.517705396836
domain_3,p7,PLN_3,1,976.234960031423
domain_3,p8,PLN_3,1,463.928697827151
domain_3,p9,PLN_3,1,684.738421537245
domain_3,p10,PLN_3,1,777.327449331687
domain_3,p11,PLN_3,1,651.78362149534
domain_3,p12,PLN_3,1,790.805064462396
domain_3,p13,PLN_3,1,549.505348628291
domain_3,p14,PLN_3,1,769.340678268376
domain_3,p15,PLN_3,1,1078.51317109929
domain_3,p16,PLN_3,1,978.598101557015
domain_3,p17,PLN_3,1,945.335263754362
domain_3,p18,PLN_3,1,791.613731721742
domain_3,p19,PLN_3,1,1063.80426474701
domain_3,p20,PLN_3,0,-1
domain_3,p21,PLN_3,0,-1
domain_3,p22,PLN_3,0,-1
domain_3,p23,PLN_3,0,-1
domain_3,p24,PLN_3,0,-1
domain_3,p1,PLN_4,1,483.390475851551
domain_3,p2,PLN_4,1,607.055931299952
domain_3,p3,PLN_4,1,447.946691259434
domain_3,p4,PLN_4,1,655.804732924237
domain_3,p5,PLN_4,1,586.098110502555
domain_3,p6,PLN_4,1,1081.75277002085
domain_3,p7,PLN_4,1,864.295426691245
domain_3,p8,PLN_4,1,540.614864707791
domain_3,p9,PLN_4,1,457.263326912693
domain_3,p10,PLN_4,1,822.195937859742
domain_3,p11,PLN_4,1,581.59615725592
domain_3,p12,PLN_4,1,707.606585811611
domain_3,p13,PLN_4,1,686.21962175331
domain_3,p14,PLN_4,1,437.937606388669
domain_3,p15,PLN_4,1,330.089206462638
domain_3,p16,PLN_4,1,679.268420171957
domain_3,p17,PLN_4,1,696.017603912091
domain_3,p18,PLN_4,1,573.168572047301
domain_3,p19,PLN_4,0,-1
domain_3,p20,PLN_4,0,-1
domain_3,p21,PLN_4,0,-1
domain_3,p22,PLN_4,0,-1
domain_3,p23,PLN_4,0,-1
domain_3,p24,PLN_4,0,-1
domain_3,p1,PLN_5,1,597.531924545596
domain_3,p2,PLN_5,1,475.791095184107
domain_3,p3,PLN_5,1,425.730834666455
domain_3,p4,PLN_5,1,519.078949271627
domain_3,p5,PLN_5,1,402.413204433763
domain_3,p6,PLN_5,1,674.096487412407
domain_3,p7,PLN_5,1,613.417474766447
domain_3,p8,PLN_5,1,544.260032728416
domain_3,p9,PLN_5,1,541.901347324058
domain_3,p10,PLN_5,1,583.541982324764
domain_3,p11,PLN_5,0,-1
domain_3,p12,PLN_5,0,-1
domain_3,p13,PLN_5,0,-1
domain_3,p14,PLN_5,0,-1
domain_3,p15,PLN_5,0,-1
domain_3,p16,PLN_5,0,-1
domain_3,p17,PLN_5,0,-1
domain_3,p18,PLN_5,0,-1
domain_3,p19,PLN_5,0,-1
domain_3,p20,PLN_5,0,-1
domain_3,p21,PLN_5,0,-1
domain_3,p22,PLN_5,0,-1
domain_3,p23,PLN_5,0,-1
domain_3,p24,PLN_5,0,-1
domain_4,p1,PLN_1,1,37.3443547018685
domain_4,p2,PLN_1,1,31.3373004128271
domain_4,p3,PLN_1,1,31.1138717189894
domain_4,p4,PLN_1,1,21.6917352933488
domain_4,p5,PLN_1,0,-1
domain_4,p6,PLN_1,0,-1
domain_4,p7,PLN_1,0,-1
domain_4,p8,PLN_1,0,-1
domain_4,p9,PLN_1,0,-1
domain_4,p10,PLN_1,0,-1
domain_4,p11,PLN_1,0,-1
domain_4,p1,PLN_2,1,658.669556039452
domain_4,p2,PLN_2,1,673.006703016718
domain_4,p3,PLN_2,1,521.395769246597
domain_4,p4,PLN_2,1,800.172838431917
domain_4,p5,PLN_2,0,-1
domain_4,p6,PLN_2,0,-1
domain_4,p7,PLN_2,0,-1
domain_4,p8,PLN_2,0,-1
domain_4,p9,PLN_2,0,-1
domain_4,p10,PLN_2,0,-1
domain_4,p11,PLN_2,0,-1
domain_4,p1,PLN_3,1,334.155322087462
domain_4,p2,PLN_3,1,422.14804409261
domain_4,p3,PLN_3,1,394.352000873353
domain_4,p4,PLN_3,1,410.306809567008
domain_4,p5,PLN_3,1,423.796424072259
domain_4,p6,PLN_3,1,454.203966438319
domain_4,p7,PLN_3,1,532.005447167973
domain_4,p8,PLN_3,0,-1
domain_4,p9,PLN_3,0,-1
domain_4,p10,PLN_3,0,-1
domain_4,p11,PLN_3,0,-1
domain_4,p1,PLN_4,1,379.915582895583
domain_4,p2,PLN_4,0,-1
domain_4,p3,PLN_4,0,-1
domain_4,p4,PLN_4,0,-1
domain_4,p5,PLN_4,0,-1
domain_4,p6,PLN_4,0,-1
domain_4,p7,PLN_4,0,-1
domain_4,p8,PLN_4,0,-1
domain_4,p9,PLN_4,0,-1
domain_4,p10,PLN_4,0,-1
domain_4,p11,PLN_4,0,-1
domain_4,p1,PLN_5,1,344.187307834794
domain_4,p2,PLN_5,1,244.726575412629
domain_4,p3,PLN_5,1,390.131662701667
domain_4,p4,PLN_5,0,-1
domain_4,p5,PLN_5,0,-1
domain_4,p6,PLN_5,0,-1
domain_4,p7,PLN_5,0,-1
domain_4,p8,PLN_5,0,-1
domain_4,p9,PLN_5,0,-1
domain_4,p10,PLN_5,0,-1
domain_4,p11,PLN_5,0,-1
domain_5,p1,PLN_1,1,646.272713059357
domain_5,p2,PLN_1,1,816.868606121763
domain_5,p3,PLN_1,1,971.509778011022
domain_5,p4,PLN_1,1,406.901956887616
domain_5,p5,PLN_1,1,527.993101627424
domain_5,p6,PLN_1,1,704.085422714357
domain_5,p7,PLN_1,1,969.122490467291
domain_5,p8,PLN_1,1,745.387632384561
domain_5,p9,PLN_1,1,587.183797626866
domain_5,p10,PLN_1,1,670.405063499786
domain_5,p11,PLN_1,1,815.717417025685
domain_5,p12,PLN_1,1,709.54601304615
domain_5,p13,PLN_1,1,674.845608962682
domain_5,p14,PLN_1,1,496.624865026983
domain_5,p15,PLN_1,1,785.438330493999
domain_5,p16,PLN_1,1,972.659661668167
domain_5,p17,PLN_1,1,895.754121237647
domain_5,p18,PLN_1,1,834.604347077548
domain_5,p19,PLN_1,1,768.773511929944
domain_5,p20,PLN_1,1,616.715268308608
domain_5,p21,PLN_1,1,736.518137899968
domain_5,p22,PLN_1,1,816.022156094892
domain_5,p23,PLN_1,1,576.996632705981
domain_5,p24,PLN_1,1,570.996475645978
domain_5,p25,PLN_1,1,680.878828204898
domain_5,p26,PLN_1,1,679.171221655521
domain_5,p27,PLN_1,1,830.063036596027
domain_5,p28,PLN_1,1,623.157872841201
domain_5,p29,PLN_1,1,960.466803905829
domain_5,p30,PLN_1,1,705.767956834888
domain_5,p31,PLN_1,1,648.695453125271
domain_5,p32,PLN_1,1,601.381980626838
domain_5,p33,PLN_1,1,572.331475143064
domain_5,p34,PLN_1,1,888.517936063191
domain_5,p35,PLN_1,1,705.95187823468
domain_5,p36,PLN_1,1,822.867261734759
domain_5,p37,PLN_1,1,665.702994481919
domain_5,p38,PLN_1,1,700.433683422128
domain_5,p39,PLN_1,1,630.708147576395
domain_5,p40,PLN_1,1,552.349491210559
domain_5,p41,PLN_1,1,662.814335265265
domain_5,p42,PLN_1,1,594.03148053109
domain_5,p43,PLN_1,1,796.58765585423
domain_5,p44,PLN_1,0,-1
domain_5,p45,PLN_1,0,-1
domain_5,p46,PLN_1,0,-1
domain_5,p47,PLN_1,0,-1
domain_5,p1,PLN_2,1,15.9325051644199
domain_5,p2,PLN_2,1,37.2060307038728
domain_5,p3,PLN_2,1,39.9798628990229
domain_5,p4,PLN_2,1,22.513349881276
domain_5,p5,PLN_2,1,31.9579093478278
domain_5,p6,PLN_2,1,41.4090107128704
domain_5,p7,PLN_2,1,32.2176765133059
domain_5,p8,PLN_2,1,35.8362089185487
domain_5,p9,PLN_2,1,32.4223392835893
domain_5,p10,PLN_2,1,37.62486479265
domain_5,p11,PLN_2,1,32.8542183097095
domain_5,p12,PLN_2,1,35.3145050558141
domain_5,p13,PLN_2,1,36.2953983906807
domain_5,p14,PLN_2,0,-1
domain_5,p15,PLN_2,0,-1
domain_5,p16,PLN_2,0,-1
domain_5,p17,PLN_2,0,-1
domain_5,p18,PLN_2,0,-1
domain_5,p19,PLN_2,0,-1
domain_5,p20,PLN_2,0,-1
domain_5,p21,PLN_2,0,-1
domain_5,p22,PLN_2,0,-1
domain_5,p23,PLN_2,0,-1
domain_5,p24,PLN_2,0,-1
domain_5,p25,PLN_2,0,-1
domain_5,p26,PLN_2,0,-1
domain_5,p27,PLN_2,0,-1
domain_5,p28,PLN_2,0,-1
domain_5,p29,PLN_2,0,-1
domain_5,p30,PLN_2,0,-1
domain_5,p31,PLN_2,0,-1
domain_5,p32,PLN_2,0,-1
domain_5,p33,PLN_2,0,-1
domain_5,p34,PLN_2,0,-1
domain_5,p35,PLN_2,0,-1
domain_5,p36,PLN_2,0,-1
domain_5,p37,PLN_2,0,-1
domain_5,p38,PLN_2,0,-1
domain_5,p39,PLN_2,0,-1
domain_5,p40,PLN_2,0,-1
domain_5,p41,PLN_2,0,-1
domain_5,p42,PLN_2,0,-1
domain_5,p43,PLN_2,0,-1
domain_5,p44,PLN_2,0,-1
domain_5,p45,PLN_2,0,-1
domain_5,p46,PLN_2,0,-1
domain_5,p47,PLN_2,0,-1
domain_5,p1,PLN_3,1,1037.10711394361
domain_5,p2,PLN_3,1,732.909323122285
domain_5,p3,PLN_3,1,607.221041082395
domain_5,p4,PLN_3,1,608.068208377675
domain_5,p5,PLN_3,1,804.63311854825
domain_5,p6,PLN_3,1,875.080549246829
domain_5,p7,PLN_3,1,753.080175231553
domain_5,p8,PLN_3,1,974.871632282584
domain_5,p9,PLN_3,1,1155.64361788654
domain_5,p10,PLN_3,1,650.619657804441
