scenario,id,domain,problem
blocksworld-ipc08,p07,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p07.pddl
blocksworld-ipc08,p08,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p08.pddl
blocksworld-ipc08,p09,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p09.pddl
blocksworld-ipc08,p10,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p10.pddl
blocksworld-ipc08,p11,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p11.pddl
blocksworld-ipc08,p12,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p12.pddl
blocksworld-ipc08,p13,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p13.pddl
blocksworld-ipc08,p14,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p14.pddl
blocksworld-ipc08,p15,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p15.pddl
blocksworld-ipc08,p16,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p16.pddl
blocksworld-ipc08,p17,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p17.pddl
blocksworld-ipc08,p18,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p18.pddl
blocksworld-ipc08,p19,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p19.pddl
blocksworld-ipc08,p20,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p20.pddl
blocksworld-ipc08,p21,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p21.pddl
blocksworld-ipc08,p22,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p22.pddl
blocksworld-ipc08,p23,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p23.pddl
blocksworld-ipc08,p24,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p24.pddl
blocksworld-ipc08,p25,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p25.pddl
blocksworld-ipc08,p26,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p26.pddl
blocksworld-ipc08,p27,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p27.pddl
blocksworld-ipc08,p28,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p28.pddl
blocksworld-ipc08,p29,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p29.pddl
blocksworld-ipc08,p30,./benchmarking/problems/blocksworld-ipc08/domain.pddl,./benchmarking/problems/blocksworld-ipc08/p30.pddl
tireworld,p01,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p01.pddl
tireworld,p02,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p02.pddl
tireworld,p03,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p03.pddl
tireworld,p04,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p04.pddl
tireworld,p05,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p05.pddl
tireworld,p06,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p06.pddl
tireworld,p07,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p07.pddl
tireworld,p08,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p08.pddl
tireworld,p09,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p09.pddl
tireworld,p10,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p10.pddl
tireworld,p11,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p11.pddl
tireworld,p12,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p12.pddl
tireworld,p13,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p13.pddl
tireworld,p14,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p14.pddl
tireworld,p15,./benchmarking/problems/tireworld/domain.pddl,./benchmarking/problems/tireworld/p15.pddl
first-responders-ipc08,p01,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p01.pddl
first-responders-ipc08,p02,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p02.pddl
first-responders-ipc08,p03,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p03.pddl
first-responders-ipc08,p04,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p04.pddl
first-responders-ipc08,p05,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p05.pddl
first-responders-ipc08,p06,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p06.pddl
first-responders-ipc08,p07,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p07.pddl
first-responders-ipc08,p08,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p08.pddl
first-responders-ipc08,p09,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p09.pddl
first-responders-ipc08,p10,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p10.pddl
first-responders-ipc08,p11,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p11.pddl
first-responders-ipc08,p12,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p12.pddl
first-responders-ipc08,p13,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p13.pddl
first-responders-ipc08,p14,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p14.pddl
first-responders-ipc08,p15,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p15.pddl
first-responders-ipc08,p16,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p16.pddl
first-responders-ipc08,p17,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p17.pddl
first-responders-ipc08,p18,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p18.pddl
first-responders-ipc08,p19,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p19.pddl
first-responders-ipc08,p20,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p20.pddl
first-responders-ipc08,p31,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p31.pddl
first-responders-ipc08,p32,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p32.pddl
first-responders-ipc08,p33,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p33.pddl
first-responders-ipc08,p34,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p34.pddl
first-responders-ipc08,p35,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p35.pddl
first-responders-ipc08,p36,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p36.pddl
first-responders-ipc08,p37,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p37.pddl
first-responders-ipc08,p38,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p38.pddl
first-responders-ipc08,p39,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p39.pddl
first-responders-ipc08,p40,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p40.pddl
first-responders-ipc08,p41,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p41.pddl
first-responders-ipc08,p42,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p42.pddl
first-responders-ipc08,p43,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p43.pddl
first-responders-ipc08,p44,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p44.pddl
first-responders-ipc08,p45,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p45.pddl
first-responders-ipc08,p46,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p46.pddl
first-responders-ipc08,p47,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p47.pddl
first-responders-ipc08,p48,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p48.pddl
first-responders-ipc08,p49,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p49.pddl
first-responders-ipc08,p50,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p50.pddl
first-responders-ipc08,p51,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p51.pddl
first-responders-ipc08,p52,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p52.pddl
first-responders-ipc08,p53,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p53.pddl
first-responders-ipc08,p54,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p54.pddl
first-responders-ipc08,p55,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p55.pddl
first-responders-ipc08,p56,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p56.pddl
first-responders-ipc08,p57,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p57.pddl
first-responders-ipc08,p58,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p58.pddl
first-responders-ipc08,p59,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p59.pddl
first-responders-ipc08,p60,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p60.pddl
first-responders-ipc08,p61,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p61.pddl
first-responders-ipc08,p62,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p62.pddl
first-responders-ipc08,p63,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p63.pddl
first-responders-ipc08,p64,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p64.pddl
first-responders-ipc08,p65,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p65.pddl
first-responders-ipc08,p66,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p66.pddl
first-responders-ipc08,p67,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p67.pddl
first-responders-ipc08,p68,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p68.pddl
first-responders-ipc08,p69,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p69.pddl
first-responders-ipc08,p70,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p70.pddl
first-responders-ipc08,p71,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p71.pddl
first-responders-ipc08,p72,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p72.pddl
first-responders-ipc08,p73,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p73.pddl
first-responders-ipc08,p74,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p74.pddl
first-responders-ipc08,p75,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p75.pddl
first-responders-ipc08,p76,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p76.pddl
first-responders-ipc08,p77,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p77.pddl
first-responders-ipc08,p78,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p78.pddl
first-responders-ipc08,p79,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p79.pddl
first-responders-ipc08,p80,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p80.pddl
first-responders-ipc08,p81,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p81.pddl
first-responders-ipc08,p82,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p82.pddl
first-responders-ipc08,p83,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p83.pddl
first-responders-ipc08,p84,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p84.pddl
first-responders-ipc08,p85,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p85.pddl
first-responders-ipc08,p86,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p86.pddl
first-responders-ipc08,p87,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p87.pddl
first-responders-ipc08,p88,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p88.pddl
first-responders-ipc08,p89,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p89.pddl
first-responders-ipc08,p90,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p90.pddl
first-responders-ipc08,p91,./benchmarking/problems/first-responders-ipc08/domain.pddl,./benchmarking/problems/first-responders-ipc08/p91.pddl
