domain,instance,configuration,time,choices,conflicts,restarts,constraints,variables,sat,iteration
blocksworld-ipc08,p01,asp-5,1.15,1757,985,8,815256,36585,1,8
blocksworld-ipc08,p01,asp-2,0.0,0,1,0,0,858,0,1
blocksworld-ipc08,p01,asp-2,0.0,9,8,0,1175,1771,0,2
blocksworld-ipc08,p01,asp-2,0.01,214,59,0,47398,4508,0,3
blocksworld-ipc08,p01,asp-2,1.19,4447,2593,18,555088,23678,0,7
blocksworld-ipc08,p01,asp-2,0.45,1371,840,6,376289,17384,0,6
blocksworld-ipc08,p01,asp-2,0.06,231,134,1,122586,7799,0,4
blocksworld-ipc08,p01,asp-2,0.19,838,477,5,232170,12091,0,5
blocksworld-ipc08,p01,asp-2,1.64,5334,2961,19,768712,30973,1,8
blocksworld-ipc08,p01,asp-1,0.0,0,1,0,0,503,0,1
blocksworld-ipc08,p01,asp-1,0.0,1,2,0,304,2333,0,2
blocksworld-ipc08,p01,asp-1,0.0,25,12,0,16374,6527,0,3
blocksworld-ipc08,p01,asp-1,0.17,1340,757,6,96395,29989,0,7
blocksworld-ipc08,p01,asp-1,0.05,518,268,2,70410,22481,0,6
blocksworld-ipc08,p01,asp-1,0.01,141,77,1,30697,10750,0,4
blocksworld-ipc08,p01,asp-1,0.02,170,99,1,48559,16068,0,5
blocksworld-ipc08,p01,asp-1,0.2,1745,800,6,126659,38592,1,8
blocksworld-ipc08,p01,asp-6,0.0,0,1,0,0,864,0,1
blocksworld-ipc08,p01,asp-6,0.0,0,1,0,12,1916,0,2
blocksworld-ipc08,p01,asp-6,0.0,13,7,0,48830,5778,0,3
blocksworld-ipc08,p01,asp-6,0.69,943,593,6,590646,28280,0,7
blocksworld-ipc08,p01,asp-6,0.25,363,206,2,402077,21009,0,6
blocksworld-ipc08,p01,asp-6,0.04,46,30,0,132070,9758,0,4
blocksworld-ipc08,p01,asp-6,0.1,141,96,1,249725,14835,0,5
blocksworld-ipc08,p01,asp-6,0.31,651,270,2,815577,36648,1,8
first-responders-ipc08,p03,asp-3,0.0,0,1,0,0,40,0,1
first-responders-ipc08,p03,asp-3,0.0,2,3,0,74,116,0,2
first-responders-ipc08,p03,asp-3,0.0,26,7,0,383,235,0,3
first-responders-ipc08,p03,asp-4,0.0,0,1,0,0,46,0,1
first-responders-ipc08,p03,asp-4,0.0,0,1,0,0,117,0,2
first-responders-ipc08,p03,asp-4,0.0,12,1,0,511,192,0,3
first-responders-ipc08,p03,asp-5,0.0,0,1,0,0,47,0,1
first-responders-ipc08,p03,asp-5,0.0,1,2,0,40,127,0,2
first-responders-ipc08,p03,asp-5,0.0,13,1,0,534,226,0,3
first-responders-ipc08,p03,asp-2,0.0,0,1,0,0,46,0,1
first-responders-ipc08,p03,asp-2,0.0,0,1,0,0,116,0,2
first-responders-ipc08,p03,asp-2,0.0,12,1,0,486,185,0,3
first-responders-ipc08,p03,asp-1,0.0,0,1,0,0,40,0,1
first-responders-ipc08,p03,asp-1,0.0,2,3,0,74,115,0,2
first-responders-ipc08,p03,asp-1,0.0,27,8,0,358,227,0,3
first-responders-ipc08,p03,asp-6,0.0,0,1,0,0,47,0,1
first-responders-ipc08,p03,asp-6,0.0,1,2,0,40,128,0,2
first-responders-ipc08,p03,asp-6,0.0,13,1,0,559,234,0,3
first-responders-ipc08,p01,asp-3,0.0,0,1,0,0,40,0,1
first-responders-ipc08,p01,asp-3,0.0,2,3,0,74,116,0,2
first-responders-ipc08,p01,asp-3,0.0,26,7,0,383,235,0,3
first-responders-ipc08,p01,asp-4,0.0,0,1,0,0,46,0,1
first-responders-ipc08,p01,asp-4,0.0,0,1,0,0,117,0,2
first-responders-ipc08,p01,asp-4,0.0,12,1,0,511,192,0,3
first-responders-ipc08,p01,asp-5,0.0,0,1,0,0,47,0,1
first-responders-ipc08,p01,asp-5,0.0,1,2,0,40,127,0,2
first-responders-ipc08,p01,asp-5,0.0,13,1,0,534,226,0,3
first-responders-ipc08,p01,asp-2,0.0,0,1,0,0,46,0,1
first-responders-ipc08,p01,asp-2,0.0,0,1,0,0,116,0,2
first-responders-ipc08,p01,asp-2,0.0,12,1,0,486,185,0,3
first-responders-ipc08,p01,asp-1,0.0,0,1,0,0,40,0,1
first-responders-ipc08,p01,asp-1,0.0,2,3,0,74,115,0,2
first-responders-ipc08,p01,asp-1,0.0,27,8,0,358,227,0,3
first-responders-ipc08,p01,asp-6,0.0,0,1,0,0,47,0,1
first-responders-ipc08,p01,asp-6,0.0,1,2,0,40,128,0,2
first-responders-ipc08,p01,asp-6,0.0,13,1,0,559,234,0,3
earth_observation,p03,asp-3,0.0,0,1,0,0,73,0,1
earth_observation,p03,asp-3,0.0,0,1,0,30,292,0,2
earth_observation,p03,asp-3,197.29,906448,715073,1845,49743,17649,0,18
earth_observation,p03,asp-3,15.67,210721,141117,443,55704,19561,1,19
earth_observation,p03,asp-3,0.0,5,3,0,1240,729,0,3
earth_observation,p03,asp-3,0.0,354,207,2,7206,3085,0,7
earth_observation,p03,asp-3,0.0,182,110,1,5277,2349,0,6
earth_observation,p03,asp-3,0.0,40,19,0,2306,1171,0,4
earth_observation,p03,asp-3,0.0,135,55,0,3645,1711,0,5
earth_observation,p03,asp-3,0.01,576,331,3,9438,3919,0,8
earth_observation,p03,asp-3,0.57,17566,12349,61,21516,8235,0,12
earth_observation,p03,asp-3,0.94,25830,17939,75,25353,9559,0,13
earth_observation,p03,asp-3,0.04,1541,1004,7,11979,4851,0,9
earth_observation,p03,asp-3,0.18,6788,4505,29,18012,7009,0,11
earth_observation,p03,asp-3,0.09,3785,2540,15,14835,5881,0,10
earth_observation,p03,asp-3,2.59,51550,37233,140,29529,10981,0,14
earth_observation,p03,asp-3,9.27,116210,88199,284,34050,12501,0,15
earth_observation,p03,asp-3,54.83,429433,331847,980,44151,15835,0,17
earth_observation,p03,asp-3,18.99,215145,163904,509,38922,14119,0,16
earth_observation,p03,asp-4,0.0,0,1,0,0,139,0,1
earth_observation,p03,asp-4,0.0,3,3,0,696,281,0,2
earth_observation,p03,asp-4,228.93,1010839,795049,2042,150515,13927,0,18
earth_observation,p03,asp-4,10.44,156444,95487,254,168825,15461,1,19
earth_observation,p03,asp-4,0.0,28,13,0,2469,517,0,3
earth_observation,p03,asp-4,0.02,1083,483,5,19263,2333,0,7
earth_observation,p03,asp-4,0.01,464,188,2,13553,1759,0,6
earth_observation,p03,asp-4,0.0,72,38,0,5162,851,0,4
earth_observation,p03,asp-4,0.0,251,70,1,8854,1265,0,5
earth_observation,p03,asp-4,0.04,1965,1076,9,25990,2987,0,8
earth_observation,p03,asp-4,0.93,22758,13986,62,63188,6403,0,12
earth_observation,p03,asp-4,2.78,43253,29287,125,75090,7457,0,13
earth_observation,p03,asp-4,0.06,3024,1568,13,33740,3721,0,9
earth_observation,p03,asp-4,0.43,12009,7229,36,52333,5429,0,11
earth_observation,p03,asp-4,0.18,6602,3663,24,42519,4535,0,10
earth_observation,p03,asp-4,6.54,77328,52233,189,88045,8591,0,14
earth_observation,p03,asp-4,14.87,150913,107333,332,102059,9805,0,15
earth_observation,p03,asp-4,109.15,576828,450664,1114,133288,12473,0,17
earth_observation,p03,asp-4,42.65,287216,216873,624,117138,11099,0,16
earth_observation,p03,asp-5,0.0,0,1,0,0,147,0,1
earth_observation,p03,asp-5,0.0,0,1,0,4,302,0,2
earth_observation,p03,asp-5,167.6,856147,679672,1660,165415,16973,0,18
earth_observation,p03,asp-5,12.91,135102,90813,254,185456,18828,1,19
earth_observation,p03,asp-5,0.0,4,4,0,2764,668,0,3
earth_observation,p03,asp-5,0.01,384,187,2,21392,2904,0,7
earth_observation,p03,asp-5,0.0,118,80,1,15091,2201,0,6
earth_observation,p03,asp-5,0.0,13,10,0,5747,1083,0,4
earth_observation,p03,asp-5,0.0,21,17,0,9896,1594,0,5
earth_observation,p03,asp-5,0.01,524,228,2,28805,3703,0,8
earth_observation,p03,asp-5,0.5,12015,8275,44,69697,7859,0,12
earth_observation,p03,asp-5,1.08,22175,16260,70,82760,9138,0,13
earth_observation,p03,asp-5,0.02,971,589,5,37336,4598,0,9
earth_observation,p03,asp-5,0.27,6438,4275,26,57776,6676,0,11
earth_observation,p03,asp-5,0.07,2588,1605,13,46991,5589,0,10
earth_observation,p03,asp-5,3.09,51428,39185,129,96971,10513,0,14
earth_observation,p03,asp-5,7.93,106531,79219,254,112336,11984,0,15
earth_observation,p03,asp-5,69.79,464320,368089,1021,146552,15214,0,17
earth_observation,p03,asp-5,21.43,205664,159682,506,128861,13551,0,16
earth_observation,p03,asp-2,0.0,0,1,0,0,139,0,1
earth_observation,p03,asp-2,0.0,3,3,0,695,280,0,2
earth_observation,p03,asp-2,218.73,1007663,796605,2043,148618,13605,0,18
earth_observation,p03,asp-2,31.76,331152,221050,576,166699,15102,1,19
earth_observation,p03,asp-2,0.0,11,9,0,2444,510,0,3
earth_observation,p03,asp-2,0.01,818,273,2,19027,2286,0,7
earth_observation,p03,asp-2,0.01,325,212,2,13390,1725,0,6
earth_observation,p03,asp-2,0.0,60,34,0,5104,837,0,4
earth_observation,p03,asp-2,0.0,134,70,1,8751,1242,0,5
earth_observation,p03,asp-2,0.04,2209,1116,9,25668,2925,0,8
earth_observation,p03,asp-2,0.89,22573,14807,62,62392,6261,0,12
earth_observation,p03,asp-2,2.04,41370,27424,117,74143,7290,0,13
earth_observation,p03,asp-2,0.09,3893,2347,14,33319,3642,0,9
earth_observation,p03,asp-2,0.45,13504,8470,42,51675,5310,0,11
earth_observation,p03,asp-2,0.22,7545,4631,28,41986,4437,0,10
earth_observation,p03,asp-2,4.62,71520,49652,183,86934,8397,0,14
earth_observation,p03,asp-2,12.78,142179,103298,348,100771,9582,0,15
earth_observation,p03,asp-2,88.57,533091,411353,1022,131607,12186,0,17
earth_observation,p03,asp-2,36.33,293998,222458,635,115660,10845,0,16
earth_observation,p03,asp-1,0.0,0,1,0,0,73,0,1
earth_observation,p03,asp-1,0.0,0,1,0,30,291,0,2
earth_observation,p03,asp-1,163.37,816440,643516,1539,47847,17326,0,18
earth_observation,p03,asp-1,345.5,2524531,1651518,3451,53579,19201,1,19
earth_observation,p03,asp-1,0.0,7,4,0,1215,721,0,3
earth_observation,p03,asp-1,0.0,218,119,1,6971,3037,0,7
earth_observation,p03,asp-1,0.0,197,114,1,5115,2314,0,6
earth_observation,p03,asp-1,0.0,55,18,0,2249,1156,0,4
earth_observation,p03,asp-1,0.0,95,60,0,3543,1687,0,5
earth_observation,p03,asp-1,0.01,664,342,3,9117,3856,0,8
earth_observation,p03,asp-1,0.55,14082,9315,48,20721,8092,0,12
earth_observation,p03,asp-1,1.34,24839,17100,76,24407,9391,0,13
earth_observation,p03,asp-1,0.04,1764,1085,9,11559,4771,0,9
earth_observation,p03,asp-1,0.31,8257,5548,30,17355,6889,0,11
earth_observation,p03,asp-1,0.08,3364,2182,14,14303,5782,0,10
earth_observation,p03,asp-1,3.27,54687,39578,148,28419,10786,0,14
earth_observation,p03,asp-1,8.33,110644,82773,254,32763,12277,0,15
earth_observation,p03,asp-1,47.37,421010,323734,914,42471,15547,0,17
earth_observation,p03,asp-1,16.95,213270,160907,505,37445,13864,0,16
earth_observation,p03,asp-6,0.0,0,1,0,0,147,0,1
earth_observation,p03,asp-6,0.0,0,1,0,4,303,0,2
earth_observation,p03,asp-6,174.47,941271,752230,1914,167311,17296,0,18
earth_observation,p03,asp-6,17.4,180896,123572,379,187581,19188,1,19
earth_observation,p03,asp-6,0.0,4,4,0,2789,676,0,3
earth_observation,p03,asp-6,0.0,249,122,1,21627,2952,0,7
earth_observation,p03,asp-6,0.0,128,70,1,15253,2236,0,6
earth_observation,p03,asp-6,0.0,13,10,0,5804,1098,0,4
earth_observation,p03,asp-6,0.0,25,17,0,9998,1618,0,5
earth_observation,p03,asp-6,0.01,690,327,2,29126,3766,0,8
earth_observation,p03,asp-6,0.69,13672,9828,47,70492,8002,0,12
earth_observation,p03,asp-6,1.56,25387,18509,77,83706,9306,0,13
earth_observation,p03,asp-6,0.03,1121,678,6,37756,4678,0,9
earth_observation,p03,asp-6,0.58,6776,4745,27,58433,6796,0,11
earth_observation,p03,asp-6,0.09,2716,1650,13,47523,5688,0,10
earth_observation,p03,asp-6,3.64,57728,43565,158,98081,10708,0,14
earth_observation,p03,asp-6,8.54,104513,79273,254,113623,12208,0,15
earth_observation,p03,asp-6,71.05,454981,361283,1020,148232,15502,0,17
earth_observation,p03,asp-6,22.73,217497,168655,509,130338,13806,0,16
earth_observation,p01,asp-3,0.0,0,1,0,0,73,0,1
earth_observation,p01,asp-3,0.0,0,1,0,30,292,0,2
earth_observation,p01,asp-3,156.28,906448,715073,1845,49743,17649,0,18
earth_observation,p01,asp-3,15.58,210721,141117,443,55704,19561,1,19
earth_observation,p01,asp-3,0.0,5,3,0,1240,729,0,3
earth_observation,p01,asp-3,0.0,354,207,2,7206,3085,0,7
earth_observation,p01,asp-3,0.0,182,110,1,5277,2349,0,6
earth_observation,p01,asp-3,0.0,40,19,0,2306,1171,0,4
earth_observation,p01,asp-3,0.0,135,55,0,3645,1711,0,5
earth_observation,p01,asp-3,0.01,576,331,3,9438,3919,0,8
earth_observation,p01,asp-3,0.61,17566,12349,61,21516,8235,0,12
earth_observation,p01,asp-3,0.94,25830,17939,75,25353,9559,0,13
earth_observation,p01,asp-3,0.03,1541,1004,7,11979,4851,0,9
earth_observation,p01,asp-3,0.19,6788,4505,29,18012,7009,0,11
earth_observation,p01,asp-3,0.09,3785,2540,15,14835,5881,0,10
earth_observation,p01,asp-3,2.45,51550,37233,140,29529,10981,0,14
earth_observation,p01,asp-3,9.02,116210,88199,284,34050,12501,0,15
earth_observation,p01,asp-3,47.21,429433,331847,980,44151,15835,0,17
earth_observation,p01,asp-3,21.34,215145,163904,509,38922,14119,0,16
earth_observation,p01,asp-4,0.0,0,1,0,0,139,0,1
earth_observation,p01,asp-4,0.0,3,3,0,696,281,0,2
earth_observation,p01,asp-4,234.37,1010839,795049,2042,150515,13927,0,18
earth_observation,p01,asp-4,10.61,156444,95487,254,168825,15461,1,19
earth_observation,p01,asp-4,0.0,28,13,0,2469,517,0,3
earth_observation,p01,asp-4,0.02,1083,483,5,19263,2333,0,7
earth_observation,p01,asp-4,0.0,464,188,2,13553,1759,0,6
earth_observation,p01,asp-4,0.0,72,38,0,5162,851,0,4
earth_observation,p01,asp-4,0.0,251,70,1,8854,1265,0,5
earth_observation,p01,asp-4,0.04,1965,1076,9,25990,2987,0,8
earth_observation,p01,asp-4,0.85,22758,13986,62,63188,6403,0,12
earth_observation,p01,asp-4,2.18,43253,29287,125,75090,7457,0,13
earth_observation,p01,asp-4,0.06,3024,1568,13,33740,3721,0,9
earth_observation,p01,asp-4,0.37,12009,7229,36,52333,5429,0,11
earth_observation,p01,asp-4,0.16,6602,3663,24,42519,4535,0,10
earth_observation,p01,asp-4,4.76,77328,52233,189,88045,8591,0,14
earth_observation,p01,asp-4,14.32,150913,107333,332,102059,9805,0,15
earth_observation,p01,asp-4,121.15,576828,450664,1114,133288,12473,0,17
earth_observation,p01,asp-4,39.29,287216,216873,624,117138,11099,0,16
earth_observation,p01,asp-5,0.0,0,1,0,0,147,0,1
earth_observation,p01,asp-5,0.0,0,1,0,4,302,0,2
earth_observation,p01,asp-5,159.7,856147,679672,1660,165415,16973,0,18
earth_observation,p01,asp-5,10.0,135102,90813,254,185456,18828,1,19
earth_observation,p01,asp-5,0.0,4,4,0,2764,668,0,3
earth_observation,p01,asp-5,0.01,384,187,2,21392,2904,0,7
earth_observation,p01,asp-5,0.0,118,80,1,15091,2201,0,6
earth_observation,p01,asp-5,0.0,13,10,0,5747,1083,0,4
earth_observation,p01,asp-5,0.0,21,17,0,9896,1594,0,5
earth_observation,p01,asp-5,0.01,524,228,2,28805,3703,0,8
earth_observation,p01,asp-5,0.52,12015,8275,44,69697,7859,0,12
earth_observation,p01,asp-5,1.1,22175,16260,70,82760,9138,0,13
earth_observation,p01,asp-5,0.02,971,589,5,37336,4598,0,9
earth_observation,p01,asp-5,0.23,6438,4275,26,57776,6676,0,11
earth_observation,p01,asp-5,0.07,2588,1605,13,46991,5589,0,10
earth_observation,p01,asp-5,3.99,51428,39185,129,96971,10513,0,14
earth_observation,p01,asp-5,11.84,106531,79219,254,112336,11984,0,15
earth_observation,p01,asp-5,74.21,464320,368089,1021,146552,15214,0,17
earth_observation,p01,asp-5,27.0,205664,159682,506,128861,13551,0,16
earth_observation,p01,asp-2,0.0,0,1,0,0,139,0,1
earth_observation,p01,asp-2,0.0,3,3,0,695,280,0,2
earth_observation,p01,asp-2,235.86,1007663,796605,2043,148618,13605,0,18
earth_observation,p01,asp-2,36.34,331152,221050,576,166699,15102,1,19
earth_observation,p01,asp-2,0.0,11,9,0,2444,510,0,3
earth_observation,p01,asp-2,0.01,818,273,2,19027,2286,0,7
earth_observation,p01,asp-2,0.01,325,212,2,13390,1725,0,6
earth_observation,p01,asp-2,0.0,60,34,0,5104,837,0,4
earth_observation,p01,asp-2,0.0,134,70,1,8751,1242,0,5
earth_observation,p01,asp-2,0.04,2209,1116,9,25668,2925,0,8
earth_observation,p01,asp-2,0.94,22573,14807,62,62392,6261,0,12
earth_observation,p01,asp-2,2.04,41370,27424,117,74143,7290,0,13
earth_observation,p01,asp-2,0.09,3893,2347,14,33319,3642,0,9
earth_observation,p01,asp-2,0.43,13504,8470,42,51675,5310,0,11
earth_observation,p01,asp-2,0.22,7545,4631,28,41986,4437,0,10
earth_observation,p01,asp-2,4.5,71520,49652,183,86934,8397,0,14
earth_observation,p01,asp-2,12.59,142179,103298,348,100771,9582,0,15
earth_observation,p01,asp-2,89.42,533091,411353,1022,131607,12186,0,17
earth_observation,p01,asp-2,37.29,293998,222458,635,115660,10845,0,16
earth_observation,p01,asp-1,0.0,0,1,0,0,73,0,1
earth_observation,p01,asp-1,0.0,0,1,0,30,291,0,2
earth_observation,p01,asp-1,146.39,816440,643516,1539,47847,17326,0,18
earth_observation,p01,asp-1,378.36,2524531,1651518,3451,53579,19201,1,19
earth_observation,p01,asp-1,0.0,7,4,0,1215,721,0,3
earth_observation,p01,asp-1,0.0,218,119,1,6971,3037,0,7
earth_observation,p01,asp-1,0.0,197,114,1,5115,2314,0,6
earth_observation,p01,asp-1,0.0,55,18,0,2249,1156,0,4
earth_observation,p01,asp-1,0.0,95,60,0,3543,1687,0,5
earth_observation,p01,asp-1,0.01,664,342,3,9117,3856,0,8
earth_observation,p01,asp-1,0.41,14082,9315,48,20721,8092,0,12
earth_observation,p01,asp-1,0.9,24839,17100,76,24407,9391,0,13
earth_observation,p01,asp-1,0.03,1764,1085,9,11559,4771,0,9
earth_observation,p01,asp-1,0.25,8257,5548,30,17355,6889,0,11
earth_observation,p01,asp-1,0.08,3364,2182,14,14303,5782,0,10
earth_observation,p01,asp-1,2.45,54687,39578,148,28419,10786,0,14
earth_observation,p01,asp-1,6.43,110644,82773,254,32763,12277,0,15
earth_observation,p01,asp-1,44.16,421010,323734,914,42471,15547,0,17
earth_observation,p01,asp-1,17.88,213270,160907,505,37445,13864,0,16
earth_observation,p01,asp-6,0.0,0,1,0,0,147,0,1
earth_observation,p01,asp-6,0.0,0,1,0,4,303,0,2
earth_observation,p01,asp-6,217.46,941271,752230,1914,167311,17296,0,18
earth_observation,p01,asp-6,19.85,180896,123572,379,187581,19188,1,19
earth_observation,p01,asp-6,0.0,4,4,0,2789,676,0,3
earth_observation,p01,asp-6,0.0,249,122,1,21627,2952,0,7
earth_observation,p01,asp-6,0.0,128,70,1,15253,2236,0,6
earth_observation,p01,asp-6,0.0,13,10,0,5804,1098,0,4
earth_observation,p01,asp-6,0.0,25,17,0,9998,1618,0,5
earth_observation,p01,asp-6,0.01,690,327,2,29126,3766,0,8
earth_observation,p01,asp-6,0.59,13672,9828,47,70492,8002,0,12
earth_observation,p01,asp-6,1.65,25387,18509,77,83706,9306,0,13
earth_observation,p01,asp-6,0.03,1121,678,6,37756,4678,0,9
earth_observation,p01,asp-6,0.27,6776,4745,27,58433,6796,0,11
earth_observation,p01,asp-6,0.08,2716,1650,13,47523,5688,0,10
earth_observation,p01,asp-6,4.17,57728,43565,158,98081,10708,0,14
earth_observation,p01,asp-6,9.16,104513,79273,254,113623,12208,0,15
earth_observation,p01,asp-6,74.5,454981,361283,1020,148232,15502,0,17
earth_observation,p01,asp-6,26.97,217497,168655,509,130338,13806,0,16
islands,p03,asp-3,0.0,0,1,0,1,178,0,1
islands,p03,asp-3,0.0,2,3,0,924,695,0,2
islands,p03,asp-3,0.0,28,10,0,2836,1714,0,3
islands,p03,asp-4,0.0,0,1,0,0,186,0,1
islands,p03,asp-4,0.0,44,15,0,1746,550,0,2
islands,p03,asp-4,0.0,195,120,1,8026,1147,0,3
islands,p03,asp-5,0.0,0,1,0,0,186,0,1
islands,p03,asp-5,0.0,3,3,0,1658,693,0,2
islands,p03,asp-5,0.0,28,12,0,8633,1530,0,3
islands,p03,asp-2,0.0,0,1,0,0,186,0,1
islands,p03,asp-2,0.0,43,14,0,1740,548,0,2
islands,p03,asp-2,0.0,121,60,0,8001,1140,0,3
islands,p03,asp-1,0.0,0,1,0,1,178,0,1
islands,p03,asp-1,0.0,2,3,0,920,693,0,2
islands,p03,asp-1,0.0,22,6,0,2811,1706,0,3
islands,p03,asp-6,0.0,0,1,0,0,186,0,1
islands,p03,asp-6,0.0,3,3,0,1662,695,0,2
islands,p03,asp-6,0.0,47,25,0,8658,1538,0,3
islands,p01,asp-3,0.0,0,1,0,0,54,0,1
islands,p01,asp-3,0.0,1,2,0,278,253,0,2
islands,p01,asp-3,0.0,29,9,0,1002,619,0,3
islands,p01,asp-4,0.0,0,1,0,0,51,0,1
islands,p01,asp-4,0.0,16,6,0,203,181,0,2
islands,p01,asp-4,0.0,23,12,0,983,393,0,3
islands,p01,asp-5,0.0,0,1,0,0,51,0,1
islands,p01,asp-5,0.0,1,2,0,78,195,0,2
islands,p01,asp-5,0.0,17,5,0,1144,489,0,3
islands,p01,asp-2,0.0,0,1,0,0,51,0,1
islands,p01,asp-2,0.0,8,6,0,200,179,0,2
islands,p01,asp-2,0.0,27,15,0,958,386,0,3
islands,p01,asp-1,0.0,0,1,0,0,54,0,1
islands,p01,asp-1,0.0,1,2,0,274,251,0,2
islands,p01,asp-1,0.0,33,6,0,977,611,0,3
islands,p01,asp-6,0.0,0,1,0,0,51,0,1
islands,p01,asp-6,0.0,1,2,0,86,197,0,2
islands,p01,asp-6,0.0,15,6,0,1169,497,0,3
elevators,p03,asp-3,0.0,0,1,0,0,139,0,1
elevators,p03,asp-3,0.0,0,1,0,16,484,0,2
elevators,p03,asp-3,0.0,5,5,0,1620,1052,0,3
elevators,p03,asp-3,0.01,321,183,2,9971,4438,0,7
elevators,p03,asp-3,0.0,204,116,1,7310,3383,0,6
elevators,p03,asp-3,0.0,35,17,0,3154,1690,0,4
elevators,p03,asp-3,0.0,78,40,0,5050,2467,0,5
elevators,p03,asp-3,0.02,900,484,4,13036,5632,0,8
elevators,p03,asp-3,0.27,9022,5615,30,29396,11798,0,12
elevators,p03,asp-3,0.27,9126,5285,30,34526,13687,0,13
elevators,p03,asp-3,0.05,2149,1270,9,16508,6965,0,9
elevators,p03,asp-3,0.1,4525,2455,14,24685,10048,0,11
elevators,p03,asp-3,0.06,2286,1313,8,20390,8437,0,10
elevators,p03,asp-3,0.35,10489,6080,30,40078,15715,0,14
elevators,p03,asp-3,0.51,16507,8736,44,46055,17882,1,15
elevators,p03,asp-4,0.0,0,1,0,0,231,0,1
elevators,p03,asp-4,0.0,3,3,0,894,416,0,2
elevators,p03,asp-4,0.0,17,9,0,6332,797,0,3
elevators,p03,asp-4,0.03,1206,644,6,67583,3291,0,7
elevators,p03,asp-4,0.01,535,295,2,46198,2519,0,6
elevators,p03,asp-4,0.0,98,53,0,15580,1272,0,4
elevators,p03,asp-4,0.01,190,122,1,28864,1846,0,5
elevators,p03,asp-4,0.06,1882,989,7,93022,4162,0,8
elevators,p03,asp-4,0.87,19358,10226,48,235378,8636,0,12
elevators,p03,asp-4,1.68,48142,15720,62,281132,10002,0,13
elevators,p03,asp-4,0.2,4085,2392,14,122518,5132,0,9
elevators,p03,asp-4,0.46,10823,5815,30,193693,7369,0,11
elevators,p03,asp-4,0.28,7545,3956,24,156074,6201,0,10
elevators,p03,asp-4,2.63,37346,22270,93,330958,11467,0,14
elevators,p03,asp-4,2.29,40529,22856,92,384859,13031,1,15
elevators,p03,asp-5,0.0,0,1,0,0,240,0,1
elevators,p03,asp-5,0.0,0,1,0,87,462,0,2
elevators,p03,asp-5,0.0,4,4,0,6539,1055,0,3
elevators,p03,asp-5,0.01,228,132,2,71374,4417,0,7
elevators,p03,asp-5,0.0,64,39,0,48941,3371,0,6
elevators,p03,asp-5,0.0,10,9,0,16066,1690,0,4
elevators,p03,asp-5,0.0,38,18,0,30726,2462,0,5
elevators,p03,asp-5,0.05,482,268,3,98028,5600,0,8
elevators,p03,asp-5,0.45,6879,4639,27,246914,11702,0,12
elevators,p03,asp-5,0.55,9002,5566,30,294718,13570,0,13
elevators,p03,asp-5,0.04,888,456,4,128906,6920,0,9
elevators,p03,asp-5,0.17,2860,1713,13,203346,9971,0,11
elevators,p03,asp-5,0.09,1583,928,8,164011,8377,0,10
elevators,p03,asp-5,1.51,18314,13046,59,346761,15575,0,14
elevators,p03,asp-5,1.3,15795,9769,34,403046,17717,1,15
elevators,p03,asp-2,0.0,0,1,0,0,231,0,1
elevators,p03,asp-2,0.0,3,3,0,894,415,0,2
elevators,p03,asp-2,0.0,26,11,0,6307,790,0,3
elevators,p03,asp-2,0.03,1392,671,6,67347,3244,0,7
elevators,p03,asp-2,0.01,521,291,2,46035,2485,0,6
elevators,p03,asp-2,0.0,51,32,0,15522,1258,0,4
elevators,p03,asp-2,0.0,193,111,1,28761,1823,0,5
elevators,p03,asp-2,0.11,3303,1601,13,92700,4100,0,8
elevators,p03,asp-2,0.8,14758,8258,43,234582,8494,0,12
elevators,p03,asp-2,1.21,21025,12046,52,280185,9835,0,13
elevators,p03,asp-2,0.2,5598,2813,19,122097,5053,0,9
elevators,p03,asp-2,0.58,12691,7718,37,193035,7250,0,11
elevators,p03,asp-2,0.4,8236,4638,29,155541,6103,0,10
elevators,p03,asp-2,2.24,36158,21218,92,329847,11273,0,14
elevators,p03,asp-2,2.69,45154,26106,95,383571,12808,1,15
elevators,p03,asp-1,0.0,0,1,0,0,139,0,1
elevators,p03,asp-1,0.0,0,1,0,6,483,0,2
elevators,p03,asp-1,0.0,6,6,0,1591,1044,0,3
elevators,p03,asp-1,0.01,443,203,2,9736,4390,0,7
elevators,p03,asp-1,0.0,207,116,1,7148,3348,0,6
elevators,p03,asp-1,0.0,40,14,0,3097,1675,0,4
elevators,p03,asp-1,0.0,83,51,0,4948,2443,0,5
elevators,p03,asp-1,0.01,624,342,4,12715,5569,0,8
elevators,p03,asp-1,0.31,9168,5445,30,28601,11655,0,12
elevators,p03,asp-1,0.39,8900,5154,28,33580,13519,0,13
elevators,p03,asp-1,0.03,1371,742,6,16088,6885,0,9
elevators,p03,asp-1,0.14,4867,2678,16,24028,9928,0,11
elevators,p03,asp-1,0.09,3093,1696,13,19858,8338,0,10
elevators,p03,asp-1,0.75,17277,10801,55,38968,15520,0,14
elevators,p03,asp-1,0.94,23979,14809,60,44768,17658,1,15
elevators,p03,asp-6,0.0,0,1,0,0,240,0,1
elevators,p03,asp-6,0.0,0,1,0,87,463,0,2
elevators,p03,asp-6,0.0,4,4,0,6564,1063,0,3
elevators,p03,asp-6,0.02,163,119,1,71609,4465,0,7
elevators,p03,asp-6,0.01,79,54,0,49103,3406,0,6
elevators,p03,asp-6,0.0,17,13,0,16123,1705,0,4
